candidate,run,bag,rgb_csv,success,goal_time_s,progress_max,rgb_samples_10_90,rgb_zero_mode,rgb_h0_mm,rgb_h0_first30_mm,rgb_p95_mm_10_90,rgb_peak_mm_10_90,rgb_rms_mm_10_90,rgb_mean_mm_10_90,rgb_first30corr_p95_mm_10_90,rgb_first30corr_peak_mm_10_90,rgb_first30corr_rms_mm_10_90,rgb_lcr_spread_p95_mm_10_90,rgb_lcr_spread_peak_mm_10_90,rgb_conf_mean_10_90,rgb_conf_p05_10_90,rgb_upper_clip_frac_10_90,rgb_peak_frame_10_90,rgb_peak_stamp_10_90,rgb_peak_bag_offset_s_10_90,rgb_peak_progress_10_90,tracking_p95_m_10_90,model_p95_mm_10_90,model_peak_mm_10_90,model_rms_mm_10_90,core_pair_dt_p95_ms,core_gamma_model_pct,core_rmse_mm,core_corr,core_U_p95_mm,core_U_max_mm,fidelity_start_bag_offset_s,fidelity_end_bag_offset_s,fidelity_paired_samples,fidelity_pair_dt_median_ms,fidelity_pair_dt_p95_ms,fidelity_gamma_model_pct,fidelity_rmse_mm,fidelity_corr,fidelity_visual_p95_mm,fidelity_model_p95_mm,fidelity_visual_peak_mm,fidelity_model_peak_mm,fidelity_visual_rms_mm,fidelity_model_rms_mm,fidelity_e_p95_mm,fidelity_e_peak_mm,fidelity_e_rms_mm,fidelity_U_p95_mm,fidelity_U_peak_mm,fidelity_U_max_mm,fidelity_under_ratio,fidelity_scale_fit_slosh_per_visual,fidelity_visual_p95_over_model_p95,fidelity_visual_peak_over_model_peak
T4,TEB_noobs_track_T4_0713_formal_r1,/data/a/slosh_bags/real/20260713_fixed_path_compare/teb/TEB_noobs_track_T4_0713_formal_r1.bag,/data/a/slosh_bags/real/20260713_fixed_path_compare/teb_rgb_analysis/formal_T4_T5/runs/TEB_noobs_track_T4_0713_formal_r1_rgb/TEB_noobs_track_T4_0713_formal_r1_red_top.csv,1,33.88573741912842,0.9896910786628723,785,calibration_zero,0.0,0.069,0.552,1.241,0.24226809911157052,0.13541146496815287,0.483,1.172,0.21158461589049585,0.519,1.034,0.990311974522293,0.9887,0.0,106,1783950589.7668602,3.962697744369507,0.14759853638215342,0.07460378557443618,0.7899477728642521,1.3782295864075422,0.39648364839101263,9.441041946411133,57.099751240274735,0.3334618981929208,0.2043976725430759,0.0,0.9045109127964825,0.02334308624267578,35.909080505371094,979,4.958629608154297,9.444260597229002,38.40747174479656,0.44763480895445845,0.39367261051977187,0.6968999999999936,0.8048367919400332,3.926,4.03814110904932,0.49704866166536443,0.43153704540998805,0.10793679194003958,0.11214110904932006,-0.06551161625537638,0.0,0.0,3.181504743153695,0.22880490296220635,0.47135746141004753,0.8658898387586613,0.9722295219456258
T4,TEB_noobs_track_T4_0713_formal_r2,/data/a/slosh_bags/real/20260713_fixed_path_compare/teb/TEB_noobs_track_T4_0713_formal_r2.bag,/data/a/slosh_bags/real/20260713_fixed_path_compare/teb_rgb_analysis/formal_T4_T5/runs/TEB_noobs_track_T4_0713_formal_r2_rgb/TEB_noobs_track_T4_0713_formal_r2_red_top.csv,1,34.737812519073486,0.9891459941864014,784,calibration_zero,0.0,0.276,1.034,1.724,0.4057717451766122,0.21859948979591834,0.759,1.448,0.3467060118796174,0.69,1.379,0.9903366071428571,0.9887,0.0,611,1783951132.1015062,22.33486580848694,0.6381996611980901,0.07598130032420158,0.9634561603888867,1.6552992165088654,0.4499028098316304,9.346151351928707,34.29592641132538,0.3478198012162748,0.47327581715330863,0.07020306868106141,1.4217853925731032,0.061641693115234375,36.79945421218872,1009,4.994869232177734,9.420394897460936,4.152206739936015,0.5831682189383098,0.5304731664771647,1.379,0.9648834005929529,5.286,5.142683163285255,0.7642106353573345,0.5095653099207792,-0.41411659940704715,-0.14331683671474416,-0.25464532543655527,0.41411659940704715,0.14331683671474416,3.9927434359341856,0.2933597621407334,0.43114220714212387,1.4291882305702002,1.027868105454739
T4,TEB_noobs_track_T4_0713_formal_r3,/data/a/slosh_bags/real/20260713_fixed_path_compare/teb/TEB_noobs_track_T4_0713_formal_r3.bag,/data/a/slosh_bags/real/20260713_fixed_path_compare/teb_rgb_analysis/formal_T4_T5/runs/TEB_noobs_track_T4_0713_formal_r3_rgb/TEB_noobs_track_T4_0713_formal_r3_red_top.csv,1,34.25859522819519,0.989290177822113,783,calibration_zero,0.0,0.345,0.7520999999999984,2.37,0.34730680839437644,0.1779067688378033,0.4070999999999984,2.026,0.3419291114271777,0.616,1.379,0.9895526181353766,0.9864,0.0,128,1783951254.0289438,4.651693344116211,0.15042055718881917,0.07610722631216049,0.7381584378890692,1.3659021351486444,0.37666504563460856,9.503626823425293,42.13558195683624,0.35664248724364395,0.21173766968260505,0.0019463136143967885,1.9635917831957341,0.05372190475463867,36.31231713294983,995,5.118131637573242,9.490895271301268,-19.47064048153444,0.8739175775807873,0.20894053055392434,1.724,0.7534489268437028,7.0,3.975723870098591,0.9553345027058855,0.39818287032543587,-0.9705510731562972,-3.024276129901409,-0.5571516323804496,0.9705510731562972,3.024276129901409,6.96545163958217,0.2814070351758794,0.16845283358007407,2.2881444761253613,1.760685658439959
T5,TEB_noobs_track_T5_0713_formal_r1,/data/a/slosh_bags/real/20260713_fixed_path_compare/teb/TEB_noobs_track_T5_0713_formal_r1.bag,/data/a/slosh_bags/real/20260713_fixed_path_compare/teb_rgb_analysis/formal_T4_T5/runs/TEB_noobs_track_T5_0713_formal_r1_rgb/TEB_noobs_track_T5_0713_formal_r1_red_top.csv,1,34.72813391685486,0.9991572499275208,792,calibration_zero,0.0,0.14300000000000002,1.241,2.615,0.502233037533274,0.2569987373737374,1.098,2.472,0.44628641944587355,0.6964999999999993,2.729,0.9899494949494949,0.9887,0.0,715,1783950814.6598656,26.426076412200928,0.7739994319257217,0.05969153568148612,0.9059662697836757,1.6504841623827815,0.42887246798747547,9.618318080902098,23.128646462209876,0.41060875619321663,0.42000801935193893,0.3278873457657181,2.1153773365169766,8.821487426757812e-05,36.728222131729126,994,5.054235458374023,9.55923795700073,-5.551278736666918,0.7312355050011738,0.3956871512263693,1.655,1.093875057995318,5.5,5.432532634586096,0.8916399791194791,0.5651766864631048,-0.561124942004682,-0.06746736541390419,-0.3264632926563743,0.561124942004682,0.06746736541390419,5.478256817485089,0.3148893360160966,0.36460706947065724,1.5129698660768658,1.0124191366995892
T5,TEB_noobs_track_T5_0713_formal_r2,/data/a/slosh_bags/real/20260713_fixed_path_compare/teb/TEB_noobs_track_T5_0713_formal_r2.bag,/data/a/slosh_bags/real/20260713_fixed_path_compare/teb_rgb_analysis/formal_T4_T5/runs/TEB_noobs_track_T5_0713_formal_r2_rgb/TEB_noobs_track_T5_0713_formal_r2_red_top.csv,1,34.8198401927948,0.9876015186309814,790,calibration_zero,0.0,0.621,0.621,1.793,0.32347023418710924,0.1810784810126582,0.621,1.172,0.5150971593246306,0.552,1.5979999999999999,0.9896484810126581,0.9887,0.0,131,1783950985.4258661,4.970650911331177,0.150251801387276,0.05311337281018494,0.8910645614378153,1.4226364437490702,0.43082628389774325,9.429001808166502,46.681421022444745,0.3592173036241618,0.2789792194952058,0.0,1.6089344686428084,0.07330036163330078,36.8931405544281,1008,4.916787147521973,9.43334102630615,33.3777234003671,0.4288816740626545,0.35882817449599375,0.759,0.9231331321643664,3.704,3.8908980786800385,0.4669725315670026,0.4579768236242096,0.16413313216436642,0.18689807868003827,-0.008995707942792974,0.0,0.0,2.987779247894883,0.28075396825396826,0.5591646445714242,0.8221999336330373,0.9519653111182388
T5,TEB_noobs_track_T5_0713_formal_r3,/data/a/slosh_bags/real/20260713_fixed_path_compare/teb/TEB_noobs_track_T5_0713_formal_r3.bag,/data/a/slosh_bags/real/20260713_fixed_path_compare/teb_rgb_analysis/formal_T4_T5/runs/TEB_noobs_track_T5_0713_formal_r3_rgb/TEB_noobs_track_T5_0713_formal_r3_red_top.csv,1,35.33479619026184,0.9876397252082825,776,calibration_zero,0.0,0.552,0.414,1.034,0.18365268304517288,0.10126675257731958,0.552,0.552,0.4760526900037367,0.345,1.1669999999999998,0.9891740979381443,0.9864,0.0,866,1783951418.0605218,32.051311016082764,0.8982219083179386,0.05942468624562025,0.6956181314308196,1.5376920346170664,0.3453066341558679,9.419739246368408,62.00635388588799,0.2689701733453372,0.36993054351294025,0.0,0.599638354438357,0.02695751190185547,37.361753702163696,1011,5.128622055053711,9.442687034606934,-10.243941638933714,0.8600274687258161,0.22593386225303158,1.7585,0.7642564887646586,6.357,3.430604701861739,0.9429060719573953,0.4154665495155032,-0.9942435112353414,-2.926395298138261,-0.5274395224418921,0.9942435112353414,2.926395298138261,5.9880554852243515,0.26013847675568746,0.18110857042761366,2.3009291067223163,1.8530260850368885
