candidate,run_count,success_count,goal_time_s_mean,goal_time_s_std,tracking_p95_m_10_90_mean,tracking_p95_m_10_90_std,slosh_p95_mm_10_90_mean,slosh_p95_mm_10_90_std,slosh_max_mm_10_90_mean,slosh_max_mm_10_90_std,slosh_rms_mm_10_90_mean,slosh_rms_mm_10_90_std,cmd_w_abs_p95_radps_10_90_mean,cmd_w_abs_p95_radps_10_90_std
T4,3,3,34.294048,0.427142,0.075787,0.000971,0.831107,0.118045,1.466477,0.163641,0.407684,0.037882,0.217085,0.006550
T5,3,3,34.960923,0.327014,0.057602,0.003659,0.831083,0.116972,1.536938,0.113926,0.401668,0.048821,0.240636,0.022717
