method,run_count,success_count,goal_time_s_mean,goal_time_s_std,model_mean_mm_10_90_mean,model_mean_mm_10_90_std,model_p95_mm_10_90_mean,model_p95_mm_10_90_std,model_max_mm_10_90_mean,model_max_mm_10_90_std,model_rms_mm_10_90_mean,model_rms_mm_10_90_std,common_eval_mean_mm_10_90_mean,common_eval_mean_mm_10_90_std,common_eval_p95_mm_10_90_mean,common_eval_p95_mm_10_90_std,common_eval_max_mm_10_90_mean,common_eval_max_mm_10_90_std,common_eval_rms_mm_10_90_mean,common_eval_rms_mm_10_90_std,cmd_v_mean_mps_10_90_mean,cmd_v_mean_mps_10_90_std,cmd_w_abs_p95_radps_10_90_mean,cmd_w_abs_p95_radps_10_90_std,cmd_w_abs_max_radps_10_90_mean,cmd_w_abs_max_radps_10_90_std,projection_p95_m_10_90_mean,projection_p95_m_10_90_std,projection_max_m_10_90_mean,projection_max_m_10_90_std
B_ours_governor_off,1,1,37.62397503852844,0.0,0.3357409075441027,0.0,0.919768214225769,0.0,1.9084991216659546,0.0,0.43699440831451947,0.0,0.3367910080431539,0.0,0.8422709867973993,0.0,1.6139832495116075,0.0,0.4215496373248614,0.0,0.31828252321480077,0.0,0.2119382900845546,0.0,0.270137762990718,0.0,0.038373920421960944,0.0,0.07619229187983073,0.0
TEB-noobs-fixed,3,3,33.16157507896423,1.2517785463702638,0.25737308483748134,0.028792389506285185,0.6405507106317674,0.07270090849705527,1.0143687316193417,0.2201701000181578,0.31882368722475346,0.03855270919546552,0.2658439265370654,0.018252666176309537,0.6618987543293402,0.04907716095275736,1.0618355863892097,0.1629551938219466,0.3304432896993517,0.024797786319621318,0.2999195464215618,0.00013934968550563244,0.15313885970715127,0.010374778167357773,0.24456426805668893,0.011643866261826053,0.15409927566846213,0.0014734805494790667,0.16377663612365723,0.008547085373238462
