-0.00721787,-1.05402,-2.38886
0.039709,-0.914025,-2.69254
0.15408,-0.446945,-2.69775
0.14116,-0.278638,-2.12413
0.140081,-0.126629,-2.51254
0.176565,-0.168117,-2.20642
0.152277,0.180737,1.46901
0.125868,0.0851401,1.94901
0.131214,0.315296,2.7049
0.0897887,0.472058,2.20282
-0.00678047,0.33777,2.40075
0.164056,0.741766,2.29282
0.107846,1.13088,2.72183
0.274384,-1.30456,-2.22028
0.28219,-1.31007,-2.15171
0.218587,-0.837868,-2.40045
0.35492,-0.599838,-1.97214
0.386511,-0.498415,-1.89099
0.358885,-0.394833,-1.54813
0.200395,-0.195772,-2.39179
0.378253,-0.182379,-2.04343
0.240997,-0.133736,-1.24642
0.38355,-0.219376,-0.601845
0.298238,-0.0322037,-0.300131
0.378648,-0.0351651,0.262155
0.380518,0.157267,0.646155
0.273424,0.0867628,1.27701
0.300993,0.164685,1.86908
0.26028,0.0867637,2.34155
0.301762,0.589376,1.96107
0.300531,0.423874,2.44466
0.386552,0.87755,2.11862
0.191688,0.69322,2.38937
0.369924,0.923002,2.07748
0.333588,0.966422,2.53751
0.487571,-1.08778,-2.15367
0.497772,-0.898948,-2.47847
0.518015,-0.817219,-1.76756
0.575307,-0.515902,-2.27024
0.456715,-0.680949,-1.43842
0.52703,-0.487007,-2.23957
0.390336,-0.48661,-1.9047
0.486189,-0.403304,-1.49327
0.394979,-0.226958,-0.588131
0.401511,-0.229424,-0.51956
0.390856,-0.158017,-2.03657
0.498251,-0.219002,-0.848703
0.413644,-0.143356,-0.533274
0.399254,-0.0330146,0.193583
0.587572,0.179833,0.413012
0.523159,0.110802,0.893012
0.517145,0.299563,1.27701
0.415679,0.299907,1.79815
0.546727,0.3473,1.09873
0.548649,0.353957,1.18101
0.450731,0.515747,2.01235
0.575155,0.747909,2.25612
0.554503,0.766339,2.29726
0.589818,0.960003,2.23531
0.586246,0.957043,2.29017
0.511812,1.26928,2.2445
0.453244,1.28718,2.41961
0.619003,-1.17387,-1.45228
0.661947,-1.01996,-1.97358
0.620371,-0.513266,-1.99498
0.792977,-0.753376,-1.41099
0.717775,-0.564071,-1.05442
0.65324,-0.378841,-2.30747
0.638128,-0.409889,-2.16263
0.60047,-0.367097,-1.1367
0.776219,-0.225158,-0.738988
0.729344,-0.171843,-0.601845
0.780012,-0.13157,-0.478417
0.771026,0.0476966,0.714726
0.783033,0.104583,-0.0944168
0.613249,0.189528,0.385583
0.765045,0.0750214,0.969269
0.650224,0.285944,1.24958
0.640561,0.538132,1.11244
0.634382,0.563288,1.22215
0.645959,0.587953,1.79815
0.664247,0.555277,2.53404
0.640283,0.607747,1.81187
0.597515,0.948602,2.24902
0.608837,0.931253,2.29017
0.721145,1.42779,2.20205
0.731058,1.40072,2.27062
0.868006,-1.06792,-1.49327
0.956605,-0.790886,-1.9047
0.831065,-0.820374,-1.35613
0.935199,-0.52158,-1.80506
0.9377,-0.411183,-2.09318
0.826838,-0.271394,-0.752703
0.976092,-0.474099,-0.42356
0.82625,-0.16134,-0.560703
0.797711,-0.142091,-0.505845
0.802375,0.106088,-0.0532739
0.877097,0.173728,0.467869
0.866561,0.177317,1.11244
0.868092,0.182362,1.1673
0.904576,0.594745,0.893012
0.912175,0.869828,1.00273
0.962743,0.641176,1.30444
0.908264,0.879098,2.00387
0.95194,0.925709,0.961583
0.8623,0.887999,1.46901
0.889118,0.938021,1.94901
0.920429,1.33805,2.21574
1.0208,-1.06769,-1.74013
1.06419,-1.11254,-1.24642
1.10549,-1.07453,-1.06813
1.08309,-1.03709,-1.08185
1.04166,-0.575686,-1.09556
1.00577,-0.504898,-0.546988
1.00603,-0.504468,-0.533274
1.07947,-0.356907,-0.725274
1.17072,-0.284545,-0.450988
1.19531,0.00512712,-0.0121311
1.18158,0.00764436,0.0290118
1.15863,0.0782508,-0.190417
1.1513,0.0748346,0.0975832
1.1287,0.269002,0.605012
1.15164,0.430138,0.426726
1.15837,0.658418,0.989012
1.00319,0.82513,1.44158
1.02503,1.04036,0.961583
1.32346,-1.05327,-1.16413
1.36772,-1.0348,-1.38356
1.35606,-0.778739,-0.917274
1.27384,-0.747903,-1.09556
1.2818,-0.743126,-0.972131
1.23975,-0.491399,-0.972131
1.31267,0.0498517,-0.272703
1.37265,-0.187161,0.0701546
1.3244,0.0716501,0.262155
1.34925,0.331629,0.111297
1.40341,0.593794,0.865583
1.20773,0.670414,0.783297
1.40925,0.84682,1.20844
1.34183,0.899972,0.865583
1.27327,1.14485,1.33187
1.38739,1.26806,1.12615
1.23063,1.30816,1.34558
1.42601,-0.83559,-0.848703
1.61313,-0.693713,-0.42356
1.41983,-0.177095,0.138726
1.58924,0.230888,0.289583
1.59145,0.560133,0.34444
1.4138,0.602939,0.851869
1.4524,0.500739,1.31029
1.42446,0.611816,0.838155
1.52278,0.720293,1.24958
1.5291,1.15872,0.838155
1.41875,0.894261,1.27701
1.57781,1.27354,0.92044
1.7549,-0.521816,-0.560703
1.66514,-0.676199,-0.313845
1.79873,-0.465575,-0.560703
1.77092,-0.445325,-0.533274
1.66362,-0.212391,-0.546988
1.77422,-0.0560853,-0.0258454
1.79135,-0.0479403,0.0290118
1.74466,0.163576,-0.162988
1.70382,0.254796,0.289583
1.71535,0.180931,0.755869
1.65262,0.597056,0.413012
1.78407,0.769359,0.550155
1.7869,0.777632,0.591297
1.86285,-0.797489,-0.601845
1.85521,-0.778494,-0.51956
1.83825,-0.774541,-0.560703
1.99246,-0.609803,-0.505845
1.83559,-0.484166,-0.546988
1.8223,-0.465861,-0.478417
1.90538,-0.0569302,0.44044
1.9157,0.186356,-0.0395596
1.90434,0.216194,0.0427261
1.84315,0.513325,0.481583
1.91554,0.713087,0.413012
1.89605,0.75688,0.646155
