stamp,x,y,yaw,nearest_path_error_m,dist_to_path_end_m,request_file
55.506,0.015618633368558996,0.015872504165891883,-0.0017304482914803907,0.0008083417324647707,4.984406639150865,lt_dwa_scout_bridge_request_55521000000.txt
55.826,0.015423958491818672,0.015441002889318333,-0.0017426294692736103,0.000389531224523127,4.984599957684429,lt_dwa_scout_bridge_request_55832000000.txt
56.206,0.04897455016780801,0.01890341480090125,0.04148966543213832,0.016518204898499266,4.951061537082448,lt_dwa_scout_bridge_request_56221000000.txt
56.506,0.10887208074622462,0.023250459573928132,0.08779496407748584,0.01024119763081581,4.891183180619406,lt_dwa_scout_bridge_request_56525000000.txt
56.826,0.19272579266164505,0.034285502402147276,0.1560855480313039,0.02957086988601156,4.8073964679663765,lt_dwa_scout_bridge_request_56828000000.txt
57.126,0.30816327663399384,0.05556670510070386,0.2229124084805408,0.03752511441087525,4.692165757669013,lt_dwa_scout_bridge_request_57128000000.txt
57.526,0.46394591825480597,0.10939737331735382,0.3157575460177847,0.037987098628048735,4.537373074567043,lt_dwa_scout_bridge_request_57526000000.txt
57.826,0.6305728881979283,0.16412619475246087,0.380669202522874,0.02244505892238359,4.372508512645221,lt_dwa_scout_bridge_request_57829000000.txt
58.126,0.8128480532370994,0.24563197034485262,0.4310888037887146,0.08952684425147962,4.194350544498617,lt_dwa_scout_bridge_request_58135000000.txt
58.506,1.036654396459221,0.35699744066175493,0.47352550822154754,0.18084567926077072,3.9793913536802425,lt_dwa_scout_bridge_request_58523000000.txt
58.826,1.2268363204204238,0.4568771066387478,0.4898273883878465,0.21442589664000145,3.8007237262749163,lt_dwa_scout_bridge_request_58835000000.txt
59.206,1.4434572732699211,0.5714505399379485,0.4642740547950537,0.10036792571905946,3.6021593366551694,lt_dwa_scout_bridge_request_59222000000.txt
59.526,1.643364599611896,0.6648729508230686,0.41720069339922455,0.053919255913437554,3.4218499750682794,lt_dwa_scout_bridge_request_59538000000.txt
59.906,1.8860160343497188,0.7604425965734425,0.316286277035848,0.25131484580439484,3.2054904587302104,lt_dwa_scout_bridge_request_59919000000.txt
60.226,2.080024538205181,0.8086378365462311,0.2047309197168233,0.39692758800507966,3.029876540088398,lt_dwa_scout_bridge_request_60232000000.txt
60.606,2.3018046348160324,0.8319210906742175,0.030999760636315446,0.5456956582432767,2.8235351830301014,lt_dwa_scout_bridge_request_60624000000.txt
60.926,2.480478571818978,0.8243102259049642,-0.14290375618566806,0.6442354254847958,2.650938621619677,lt_dwa_scout_bridge_request_60929000000.txt
61.306,2.701380918932571,0.7646448163904014,-0.3931307567424806,0.7251463515292275,2.422463905836367,lt_dwa_scout_bridge_request_61320000000.txt
61.626,2.873018147150306,0.6700476795541067,-0.618953962383107,0.7491864538950861,2.2300259404831517,lt_dwa_scout_bridge_request_61632000000.txt
62.006,3.0862678787747213,0.49767898902699814,-0.8838194569563665,0.7346630258692389,1.977385902632145,lt_dwa_scout_bridge_request_62023000000.txt
62.326,3.212118553442049,0.30753957445163493,-1.0911724531871279,0.6547063678657524,1.8141390952184586,lt_dwa_scout_bridge_request_62331000000.txt
62.726,3.3222858964337547,0.020442096226256586,-1.3003399874545887,0.48662302718943773,1.6778386372363754,lt_dwa_scout_bridge_request_62727000000.txt
63.026,3.367606817857935,-0.19965728737667002,-1.4285577331950585,0.3347148545924218,1.6445578534993865,lt_dwa_scout_bridge_request_63032000000.txt
63.326,3.3864716977263396,-0.41160193041609744,-1.5265375496966005,0.16098056680476186,1.665199607062283,lt_dwa_scout_bridge_request_63330000000.txt
63.706,3.387477549259455,-0.6478889818169887,-1.6169734177782782,0.05685881228269343,1.7378114934889086,lt_dwa_scout_bridge_request_63723000000.txt
64.026,3.377494185578915,-0.8233866791218234,-1.6601531751600553,0.22300877816545453,1.8194754027426412,lt_dwa_scout_bridge_request_64034000000.txt
64.326,3.364490202155558,-0.9486788708127987,-1.673082947967588,0.3444032172437473,1.890736337719201,lt_dwa_scout_bridge_request_64333000000.txt
64.706,3.353036849490881,-1.0716733713106792,-1.646298674329322,0.4649138505822949,1.9649354783074489,lt_dwa_scout_bridge_request_64725000000.txt
65.026,3.3491121691645827,-1.1453049853592003,-1.5980357615092315,0.5363650981608182,2.0092670652477014,lt_dwa_scout_bridge_request_65029000000.txt
65.406,3.3485523289965697,-1.1928260469084657,-1.4956507836381496,0.5814886978540053,2.0371827086066516,lt_dwa_scout_bridge_request_65422000000.txt
65.726,3.352831381648071,-1.205693292986064,-1.381405333711591,0.592428838639391,2.041288998166351,lt_dwa_scout_bridge_request_65733000000.txt
66.026,3.3541232870775213,-1.2069060044601398,-1.2425391071052376,0.5932009624598666,2.0409635611010906,lt_dwa_scout_bridge_request_66035000000.txt
66.426,3.3552330011211002,-1.2101142402982012,-1.0180828930735355,0.5959382133826395,2.041968402099699,lt_dwa_scout_bridge_request_66426000000.txt
66.726,3.3698539771486518,-1.2289838638512371,-0.8213120657216547,0.6099920114632007,2.041513505570019,lt_dwa_scout_bridge_request_66731000000.txt
67.106,3.431548297584815,-1.2788474778395114,-0.532932557071689,0.6459677244246492,2.0237321004484694,lt_dwa_scout_bridge_request_67123000000.txt
67.426,3.513280274184609,-1.3109895939356453,-0.2618682116810829,0.6625540361708331,1.9821779078922612,lt_dwa_scout_bridge_request_67430000000.txt
67.726,3.6341715449161422,-1.3314026121654954,0.027519948260913453,0.6658094394173112,1.907385719878878,lt_dwa_scout_bridge_request_67733000000.txt
68.126,3.82682350109893,-1.287830402059623,0.41836077233406926,0.620201163634136,1.7420821570875538,lt_dwa_scout_bridge_request_68127000000.txt
68.426,3.9777097844541336,-1.1880637542409853,0.7006336904267705,0.5381135227709407,1.5673457719794952,lt_dwa_scout_bridge_request_68434000000.txt
68.726,4.111831332692653,-1.0394998683521157,0.9469079127665807,0.4200679197363592,1.3672613348919713,lt_dwa_scout_bridge_request_68735000000.txt
69.026,4.229721074950089,-0.8280841957675011,1.1705047780392117,0.2599524513976409,1.1309522791240825,lt_dwa_scout_bridge_request_69035000000.txt
69.426,4.313806395887937,-0.5189535525752598,1.418232294642634,0.024447589072696767,0.8603339189261263,lt_dwa_scout_bridge_request_69429000000.txt
69.726,4.329997673524437,-0.2795466810079192,1.579577027856292,0.16219011702673217,0.7259817245256327,lt_dwa_scout_bridge_request_69733000000.txt
70.026,4.3121846558292996,-0.04700480501347014,1.7055089510120627,0.362196221062583,0.6894196105210633,lt_dwa_scout_bridge_request_70032000000.txt
70.326,4.270456991688677,0.1644298094915573,1.8091747279762005,0.5581456854124188,0.7478436756604724,lt_dwa_scout_bridge_request_70334000000.txt
70.626,4.222400349525806,0.33174043369034995,1.879104866706473,0.7223496574533446,0.8454069622156253,lt_dwa_scout_bridge_request_70633000000.txt
71.026,4.157336514893072,0.5150686311427131,1.9351431711617977,0.9091716290937867,0.9876119905710864,lt_dwa_scout_bridge_request_71026000000.txt
71.306,4.118332359495565,0.6173167696484866,1.9458828774720862,1.014834650452247,1.0762982032884294,lt_dwa_scout_bridge_request_71324000000.txt
71.726,4.072235925839301,0.7323171406152071,1.922831635566997,1.1352621068173299,1.1819621701823173,lt_dwa_scout_bridge_request_71728000000.txt
72.026,4.052875719976538,0.7868069499035374,1.8757576727456409,1.1907754647413957,1.2313040153538322,lt_dwa_scout_bridge_request_72035000000.txt
72.426,4.045000806008782,0.8228910859957175,1.7712373095135874,1.224829211304629,1.2606241311093043,lt_dwa_scout_bridge_request_72435000000.txt
72.726,4.043540998044987,0.8274039035089581,1.6622871449187513,1.2293700160576715,1.264678236533958,lt_dwa_scout_bridge_request_72732000000.txt
73.126,4.041677922820897,0.8323938387619656,1.480238378429946,1.2345340932604907,1.269354444754401,lt_dwa_scout_bridge_request_73126000000.txt
73.406,4.042364359763367,0.8347303625159538,1.3241364657153842,1.2360682077059313,1.2703703387427794,lt_dwa_scout_bridge_request_73423000000.txt
73.706,4.044007080124025,0.8369078238477266,1.1309653121349184,1.2369332904130317,1.2705656883729115,lt_dwa_scout_bridge_request_73724000000.txt
