actual_index,actual_x,actual_y,actual_yaw,nearest_path_index,nearest_path_x,nearest_path_y,nearest_error_m,dist_to_path_end_m,request_file
0,-0.010034832671486582,0.010597732492134308,-0.0024373166699449824,0,-0.00979985843911936,0.010357833280663451,0.00033580429053379254,7.784990166034201,lt_dwa_scout_bridge_request_276293000000.txt
1,-0.009711669702719496,0.010591597317956393,-0.0025078935819751384,0,-0.00979985843911936,0.010357833280663451,0.00024984570910724244,7.784666995015185,lt_dwa_scout_bridge_request_276569000000.txt
2,0.012860940272134264,0.008393716187198037,0.033908517964328415,0,-0.00979985843911936,0.010357833280663451,0.022745759037429304,7.762091718118605,lt_dwa_scout_bridge_request_276865000000.txt
3,0.07295084897660359,0.013939259678924277,0.09386551528596068,1,0.04016658340762343,0.05855176638121457,0.055363199177425736,7.702009884771953,lt_dwa_scout_bridge_request_277166000000.txt
4,0.1483376565148951,0.02613807549135661,0.18032325834202337,2,0.09013292110354074,0.10666742105181734,0.09936179708872957,7.6266552536380265,lt_dwa_scout_bridge_request_277467000000.txt
5,0.26550319284216917,0.0507261336855659,0.2834277861772617,3,0.14009905066674005,0.15462664583042302,0.16285427626783042,7.5096162516698985,lt_dwa_scout_bridge_request_277768000000.txt
6,0.3983107649245966,0.09622748263718706,0.4220473013944272,5,0.24003027132348648,0.24976459486313893,0.22051385327297604,7.37726496618026,lt_dwa_scout_bridge_request_278068000000.txt
7,0.5490131701775066,0.1772331946378697,0.552188202220224,8,0.38992297014627675,0.38936583799257174,0.2651602348064844,7.228108153199534,lt_dwa_scout_bridge_request_278364000000.txt
8,0.7603844044703253,0.3344375356893055,0.7307014311898927,12,0.5897679930314295,0.5665502678324872,0.2880733939038088,7.022531774676806,lt_dwa_scout_bridge_request_278756000000.txt
9,0.9007020075688731,0.47253677564043467,0.8306097033675838,15,0.7396394814781144,0.6902100632369562,0.2707818262805211,6.890468092642336,lt_dwa_scout_bridge_request_279064000000.txt
10,1.0470937935289526,0.6487849367252745,0.9214545245392446,19,0.9394471959565946,0.8393539712250313,0.21887061675582375,6.759063960187229,lt_dwa_scout_bridge_request_279370000000.txt
11,1.167186479974837,0.8178725095294505,0.9675063302528425,22,1.0892844610690844,0.9372919458408675,0.14258234925308544,6.658185127235029,lt_dwa_scout_bridge_request_279666000000.txt
