condition,start_since_command_s,end_since_command_s,window_s,samples,P95_mm,RMS_mm,peak_mm
B0,2.7210803031921387,23.76366949081421,21.04258918762207,1054,1.9961861278428876,0.9234382430452764,4.395391113146156
Smooth-only,3.111966371536255,23.98776412010193,20.875797748565674,1046,2.4491889135126104,1.0730428289690013,4.352925093157083
NoState,3.16719651222229,24.033607244491577,20.866410732269287,1045,2.036353109145844,0.9388202636812443,4.042490933057425
Full S-MPCC,3.2164688110351562,24.282232522964478,21.06576371192932,1056,2.159333226296158,1.1002933351136828,4.908353663968794
