condition,task_s,task_P95_mm,task_RMS_mm,task_peak_mm,tail5s_P95_mm,tail5s_RMS_mm,tail5s_peak_mm,tracking_RMS_cm,tracking_P95_cm,solver_failures
B0,25.893948078155518,1.8703192088568756,0.8928910631146422,4.395391113146156,1.892834152203621,0.7672842582323898,3.55402230400529,0.8440040530925038,1.5769425509488681,0
Smooth-only,26.09766125679016,2.3220142614565984,1.0185159743652963,4.352925093157083,2.0834947900073186,0.7844689680898869,3.997189396503788,0.8458500508228599,1.5960247201649198,0
NoState,26.158976316452026,1.969068992154247,0.8969528399118607,4.042490933057425,1.3493851111681043,0.5400550547149604,2.7830179633842875,0.818954871888041,1.4263510233178232,0
Full S-MPCC,26.357449531555176,2.0597363577375596,1.0332019337065204,4.908353663968794,2.183814105038199,0.8172474143099601,4.001805555007624,0.5984219388642691,1.1524400530396401,0
